nom,SIREN,type,code_departement,code_region
CA Le Grand Narbonne,241100593,CA,11,76
CA Le Grand Périgueux,200040392,CA,24,75
CA Le Muretain Agglo,200068641,CA,31,76
CA Les Sables d'Olonne Agglomération,200071165,CA,85,52
CA Lisieux Normandie,200069532,CA,14,28
CA Loire Forez Agglomération,200065886,CA,42,84
CA Lorient Agglomération,200042174,CA,56,53
CA Luberon Monts de Vaucluse,200040442,CA,84,93
CA Mâconnais Beaujolais Agglomération,200070308,CA,"01,71","27,84"
CA Marne et Gondoire,247700594,CA,77,11
CA Maubeuge Val de Sambre,200043396,CA,59,32
CA Mauges Communauté,200060010,CA,49,52
CA Melun Val de Seine,247700057,CA,77,11
CA Mont-de-Marsan Agglomération,244000808,CA,40,75
CA Mont-Saint-Michel-Normandie,200069425,CA,50,28
CA Montargoise et Rives du Loing (A.M.E.),244500203,CA,45,24
CA Montélimar Agglomération,200040459,CA,26,84
CA Montluçon Communauté,200071082,CA,03,84
CA Morlaix Communauté,242900835,CA,29,53
CA Moulins Communauté,200071140,CA,"03,58","27,84"
CA Mulhouse Alsace Agglomération,200066009,CA,68,44
CA Paris - Vallée de la Marne,200057958,CA,77,11
CA Pau Béarn Pyrénées,200067254,CA,64,75
CA Pays d'Issoire,200070407,CA,63,84
CA Pays de Montbéliard Agglomération,200065647,CA,25,27
CA Pays Foix-Varilhes,200067791,CA,09,76
CA Plaine Vallée,200056380,CA,95,11
CA Pornic Agglo Pays de Retz,200067346,CA,44,52
CA Porte de l'Isère (C.A.P.I),243800604,CA,38,84
CA Portes de France-Thionville,245701362,CA,57,44
CA Privas Centre Ardèche,200071413,CA,07,84
CA Provence-Alpes-Agglomération,200067437,CA,04,93
CA Quimper Bretagne Occidentale,200068120,CA,29,53
CA Quimperlé Communauté,242900694,CA,29,53
CA Rambouillet Territoires,200073344,CA,78,11
CA Redon Agglomération,243500741,CA,"35,44,56","52,53"
CA Riom Limagne et Volcans,200070753,CA,63,84
CA Roannais Agglomération,200035731,CA,42,84
CA Rochefort Océan,200041762,CA,17,75
CA Rodez Agglomération,241200187,CA,12,76
CA Roissy Pays de France,200055655,CA,"77,95",11
CA Royan Atlantique,241700640,CA,17,75
CA Saint-Avold Synergie,200067502,CA,57,44
CA Saint-Brieuc Armor Agglomération,200069409,CA,22,53
CA Saint-Germain Boucles de Seine,200058519,CA,"78,95",11
CA Saint-Lô Agglo,200066389,CA,50,28
CA Saint-Louis Agglomération,200066058,CA,68,44
CA Sarreguemines Confluences,200070746,CA,"57,67",44
CA Saumur Val de Loire,200071876,CA,49,52
CA Seine Normandie Agglomération,200072312,CA,27,28
CA Seine-Eure,200089456,CA,27,28
CA Sète Agglopôle Méditerranée,200066355,CA,34,76
CA Sud Sainte-Baume,248300394,CA,83,93
CA Tarbes-Lourdes-Pyrénées,200069300,CA,65,76
CA Terre de Provence,200035087,CA,13,93
CA Territoire de la Côte Ouest (TCO),249740101,CA,974,04
CA Territoires Vendômois,200072072,CA,41,24
CA Thonon Agglomération,200067551,CA,74,84
CA Troyes Champagne Métropole,200069250,CA,10,44
CA Tulle Agglo,241927201,CA,19,75
CA Val d'Europe Agglomération,247700339,CA,77,11
CA Val d'Yerres Val de Seine,200058477,CA,91,11
CA Val de Garonne Agglomération,200030674,CA,47,75
CA Val Parisis,200058485,CA,95,11
CA Valence Romans Agglo,200068781,CA,26,84
CA Valenciennes Métropole,245901160,CA,59,32
CA Var Estérel Méditerranée (Cavem),200035319,CA,83,93
CA Ventoux-Comtat-Venaissin (COVE),248400053,CA,84,93
CA Versailles Grand Parc (C.A.V.G.P.),247800584,CA,"78,91",11
CA Vichy Communauté,200071363,CA,03,84
CA Vienne Condrieu,200077014,CA,"38,69",84
CA Villefranche Beaujolais Saône,200040590,CA,"01,69",84
CA Vitré Communauté,200039022,CA,35,53
CC Adour Madiran,200072106,CC,"64,65","75,76"
CC Agly Fenouillèdes,246600423,CC,66,76
CC Airvaudais-Val du Thouet,200041416,CC,79,75
CC Albret Communauté,200068948,CC,47,75
CC Alpes d'Azur,200039931,CC,06,93
CC Alpes-Provence-Verdon - Sources de Lumière,200068625,CC,04,93
CC Altitude 800,242504488,CC,25,27
CC Ambert Livradois Forez,200070761,CC,63,84
CC Amognes Cœur du Nivernais,200067908,CC,58,27
CC Andaine - Passais,200068443,CC,61,28
CC Anjou Bleu Communauté,244900809,CC,49,52
CC Anjou Loir et Sarthe,200068955,CC,49,52
"CC Arbois,Poligny,Salins,Cœur du Jura",200071595,CC,39,27
CC Arc Sud Bretagne,200027027,CC,56,53
CC Ardèche des Sources et Volcans,200039824,CC,07,84
CC Ardèche Rhône Coiron,200071405,CC,07,84
"CC Ardenne,Rives de Meuse",240800821,CC,08,44
CC Ardennes Thiérache,200041622,CC,08,44
CC Argentan Intercom,200068450,CC,61,28
CC Argonne-Meuse,200066116,CC,55,44
CC Arize Lèze,200066223,CC,09,76
CC Armagnac Adour,200035632,CC,32,76
CC Arnon Boischaut Cher,200027076,CC,18,24
CC Artagnan de Fezensac,243200607,CC,32,76
CC Arve et Salève,247400583,CC,74,84
CC Astarac Arros en Gascogne,200035756,CC,32,76
CC Aubrac Lot Causses Tarn,200069268,CC,48,76
"CC Aubrac,Carladez et Viadène",200067171,CC,12,76
CC Aunis Atlantique,200041499,CC,17,75
CC Aunis Sud,200041614,CC,17,75
CC Auray Quiberon Terre Atlantique,200043123,CC,56,53
CC Aure-Louron,246500573,CC,65,76
CC Auxonne Pontailler Val de Saône,200070902,CC,21,27
CC Auzon Communauté,244301099,CC,43,84
"CC Avallon,Vézelay,Morvan",200039758,CC,89,27
CC Aveyron Bas Ségala Viaur,241200807,CC,12,76
CC Avre Luce Noye,200070969,CC,80,32
CC Aygues-Ouvèze en Provence (CCAOP),248400160,CC,84,93
CC Bassée-Montois,200040251,CC,77,11
CC Bastides de Lomagne,200034726,CC,32,76
CC Bastides et Vallons du Gers,243200508,CC,32,76
CC Baugeois Vallée,244900882,CC,49,52
CC Bazois Loire Morvan,200067882,CC,58,27
CC Beaucaire Terre d'Argence,243000585,CC,30,76
CC Beauce Val de Loire,200055481,CC,41,24
CC Beaujolais Pierres Dorées,200040574,CC,69,84
CC Berg et Coiron,240700815,CC,07,84
CC Berry Grand Sud,200049484,CC,18,24
CC Berry Loire Puisaye,200068278,CC,45,24
CC Berry-Loire-Vauvise,200032514,CC,18,24
